,Request Date (Local),Unnamed: 0,Employee ID,Distance (mi),Duration (min),Fare in KES,Service and Technology Fee,Total Charge in KES
77,2017-04-24,2569,88.0,26.42,104,2550.0,127.5,2677.5
78,2017-04-25,1116,21.0,4.800000000000001,21,900.0,45.0,945.0
79,2017-04-26,5327,137.0,44.08,227,4650.0,232.5,4882.5
80,2017-04-27,4323,122.0,37.989999999999995,278,4550.0,227.5,4777.5
81,2017-04-28,799,14.0,5.64,21,600.0,30.0,630.0
82,2017-05-02,4878,84.0,41.36,212,4400.0,220.0,4620.0
83,2017-05-03,2075,27.0,32.59,175,3100.0,155.0,3255.0
84,2017-05-04,1257,29.0,14.33,73,1300.0,65.0,1365.0
85,2017-05-05,1690,28.0,15.65,81,1700.0,85.0,1785.0
86,2017-05-08,2565,68.0,15.870000000000001,82,2000.0,100.0,2100.0
87,2017-05-09,1296,34.0,37.190000000000005,88,3109.0,155.45000000000002,3264.45
88,2017-05-10,2619,43.0,38.39,142,3468.0,173.4,3641.4
89,2017-05-11,1766,32.0,10.81,69,1650.0,82.5,1732.5
90,2017-05-12,1782,41.0,16.53,55,1498.0,74.9,1572.9
91,2017-05-13,448,16.0,0.02,2,800.0,40.0,840.0
92,2017-05-15,1802,33.0,16.28,63,1550.0,77.5,1627.5
93,2017-05-16,1818,38.0,19.98,108,2356.0,117.8,2473.8
94,2017-05-17,1834,42.0,17.33,86,1741.0,87.05,1828.05
95,2017-05-31,1386,34.0,29.380000000000003,82,2482.0,124.1,2606.1
96,2017-06-02,3269,42.0,19.189999999999998,127,2756.0,137.8,2893.8
97,2017-06-05,2841,58.0,47.830000000000005,133,4448.0,222.4,4670.4
98,2017-06-06,5302,131.0,43.0,219,4555.0,227.75,4782.75
99,2017-06-07,2450,45.0,26.5,110,2529.0,126.44999999999999,2655.45
100,2017-06-08,3472,42.0,79.95,244,6849.0,342.45,7191.45
101,2017-06-09,2006,35.0,12.59,52,1184.0,59.2,1243.2
102,2017-06-12,3549,67.0,19.05,141,2169.0,108.45,2277.45
103,2017-06-13,2565,41.0,14.84,65,1601.0,80.05,1681.05
104,2017-06-14,7315,153.0,53.9,180,4982.0,249.10000000000002,5231.1
105,2017-06-15,2126,24.0,15.64,76,1300.0,65.0,1365.0
106,2017-06-16,3219,67.0,50.55,136,3550.0,177.5,3727.5
107,2017-06-17,540,7.0,6.63,33,450.0,22.5,472.5
108,2017-06-19,4905,115.0,57.66,179,4386.0,219.3,4605.3
109,2017-06-20,3315,43.0,19.7,91,1835.0,91.75,1926.75
110,2017-06-21,3351,66.0,47.489999999999995,132,3353.0,167.65,3520.65
111,2017-06-22,5094,97.0,53.14,158,3940.0,197.0,4137.0
112,2017-06-23,2290,44.0,16.67,109,1578.0,78.9,1656.9
113,2017-06-27,2885,71.0,24.25,91,2051.0,102.55,2153.55
114,2017-06-28,2326,44.0,15.96,87,1624.0,81.2,1705.2
115,2017-06-29,2930,51.0,40.989999999999995,128,2897.0,144.85,3041.85
116,2017-06-30,2362,38.0,39.120000000000005,221,3064.0,153.2,3217.2
117,2017-07-03,5373,113.0,52.01,185,4054.0,202.7,4256.7
118,2017-07-04,3627,71.0,32.79,146,2728.0,136.4,2864.4
119,2017-07-05,4277,71.0,24.869999999999997,148,2353.0,117.65,2470.65
120,2017-07-06,2466,55.0,25.01,106,1937.0,96.85,2033.85
121,2017-07-07,2482,36.0,7.77,45,1140.0,57.0,1197.0
122,2017-07-10,1872,40.0,16.35,60,1224.0,61.2,1285.2
123,2017-07-11,3140,76.0,18.32,105,1815.0,90.75,1905.75
124,2017-07-12,5715,93.0,57.32,191,4983.0,249.15,5232.15
125,2017-07-13,3855,80.0,45.65,124,3250.0,162.5,3412.5
126,2017-07-14,1293,27.0,8.879999999999999,44,698.0,34.9,732.9
127,2017-07-17,1947,25.0,15.610000000000001,61,1232.0,61.6,1293.6
128,2017-07-18,2610,44.0,14.54,56,1250.0,62.5,1312.5
129,2017-07-19,2626,42.0,17.05,85,1422.0,71.1,1493.1
130,2017-07-20,1319,12.0,6.5,22,596.0,29.8,625.8
131,2017-07-21,2650,45.0,17.41,67,1400.0,70.0,1470.0
132,2017-07-25,2666,48.0,18.4,94,1499.0,74.95,1573.95
133,2017-07-26,3355,54.0,22.1,104,1971.0,98.55,2069.55
134,2017-07-27,2702,55.0,17.47,62,1459.0,72.95,1531.95
135,2017-07-28,678,7.0,2.88,22,350.0,17.5,367.5
136,2017-08-01,4774,45.0,17.509999999999998,95,2189.0,109.45,2298.45
137,2017-08-02,2750,35.0,21.38,77,1390.0,69.5,1459.5
138,2017-08-03,5548,66.0,20.79,89,2442.0,122.1,2564.1
139,2017-08-07,2097,9.0,13.51,46,1200.0,60.0,1260.0
140,2017-08-11,701,7.0,2.83,7,300.0,15.0,315.0
141,2017-08-18,2109,41.0,12.65,66,1061.0,53.05,1114.05
142,2017-08-21,2118,41.0,12.95,48,1017.0,50.85,1067.85
143,2017-08-22,2838,28.0,19.42,149,1823.0,91.15,1914.15
144,2017-08-23,3570,34.0,16.27,86,1718.0,85.9,1803.9
145,2017-08-24,3595,40.0,20.85,94,1889.0,94.45,1983.45
146,2017-08-25,5804,88.0,27.18,130,2615.0,130.75,2745.75
147,2017-08-28,3660,53.0,19.8,71,1650.0,82.5,1732.5
148,2017-08-29,4425,71.0,43.8,112,3103.0,155.14999999999998,3258.15
149,2017-08-30,4461,63.0,26.41,138,2187.0,109.35,2296.35
150,2017-08-31,6004,35.0,21.43,122,2297.0,114.85,2411.85
151,2017-09-01,6068,93.0,25.029999999999998,121,2661.0,133.05,2794.05
152,2017-09-04,6903,109.0,37.31,140,2896.0,144.8,3040.8
153,2017-09-05,772,13.0,4.19,20,330.0,16.5,346.5
154,2017-09-07,6993,102.0,40.69,203,3215.0,160.75,3375.75
155,2017-09-08,3920,56.0,15.81,181,1672.0,83.6,1755.6
156,2017-09-11,3154,49.0,11.53,48,2237.0,111.85,2348.85
157,2017-09-12,7155,146.0,32.97,190,2904.0,145.2,3049.2
